date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2022-11-10,15.0,15.05,14.92,14.82,13657.0,-0.02,-0.13,15.032,14.721,14.615,16521.62,18158.46,17102.89,0.9
2022-11-09,15.17,15.17,14.94,14.94,12411.2,-0.17,-1.12,15.026,14.681,14.582,18085.93,18072.46,17284.3,0.82
2022-11-08,15.01,15.14,15.11,15.01,12698.2,-0.03,-0.2,14.974,14.636,14.535,19566.49,18914.34,17332.94,0.83
2022-11-07,14.99,15.29,15.14,14.98,21467.5,0.09,0.6,14.884,14.541,14.462,22292.45,19344.43,17301.93,1.41
2022-11-04,14.83,15.11,15.05,14.82,22374.22,0.16,1.07,14.646,14.457,14.373,20567.75,18990.28,16827.55,1.47
2022-11-03,14.61,14.95,14.89,14.54,21478.51,0.21,1.43,14.41,14.397,14.305,19795.3,17980.25,16734.79,1.41
2022-11-02,14.64,14.83,14.68,14.53,19814.0,0.02,0.14,14.336,14.352,14.267,18059.0,17470.92,16730.07,1.3
2022-11-01,14.0,14.68,14.66,14.0,26328.01,0.71,5.09,14.298,14.344,14.248,18262.2,16612.62,17921.42,1.73
2022-10-31,13.87,14.15,13.95,13.8,12844.0,0.08,0.58,14.198,14.349,14.232,16396.4,15211.42,17164.72,0.84
2022-10-28,14.6,14.6,13.87,13.8,18512.0,-0.65,-4.48,14.268,14.433,14.237,17412.8,15787.72,17542.69,1.22
2022-10-27,14.5,14.72,14.52,14.5,12797.0,0.03,0.21,14.384,14.509,14.268,16165.2,16047.32,17693.84,0.84
2022-10-26,14.18,14.59,14.49,14.18,20830.0,0.33,2.33,14.368,14.482,14.277,16882.84,16496.14,17661.54,1.37
2022-10-25,14.24,14.33,14.16,13.95,16999.01,-0.14,-0.98,14.39,14.433,14.288,14963.04,15751.54,17489.99,1.12
2022-10-24,14.46,14.7,14.3,14.15,17926.0,-0.15,-1.04,14.5,14.383,14.304,14026.44,15259.44,17383.24,1.18
2022-10-21,14.48,14.61,14.45,14.39,12274.0,0.01,0.07,14.598,14.288,14.291,14162.64,14664.82,17256.49,0.81
2022-10-20,14.57,14.69,14.44,14.35,16385.2,-0.16,-1.1,14.634,14.213,14.279,15929.44,15489.32,17429.54,1.08
2022-10-19,14.71,14.78,14.6,14.55,11231.0,-0.11,-0.75,14.596,14.181,14.28,16109.44,15989.23,17933.63,0.74
2022-10-18,14.8,14.89,14.71,14.67,12316.0,-0.08,-0.54,14.476,14.151,14.304,16540.04,19230.23,18227.93,0.81
2022-10-17,14.6,14.82,14.79,14.52,18607.0,0.16,1.09,14.266,14.115,14.328,16492.45,19118.03,18497.68,1.22
